,tweet
26,RT @corjoy: The West’s blanket boycotts &amp; sanctions against Russia while continuing its complicity in Israel’s apartheid against Palestinia…
27,RT @Hassunt1: @covid1948 @swilkinsonbc @PalestineCntxt @100_alpha @Tibou33969029 @HumanitarianPR @AblueUs @Lowkey0nline @StanleyCohenLaw @s…
28,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
29,RT @BDSmovement: The Nakba did not end in 1948. It continues to this day with apartheid Israel relentlessly pursuing the dispossession of t…
30,"@suremeanttosay @RamsyKilani I agree!!! But as resistance becomes more successful , the criminal regime of #apartheidisrael is likely to intensify its violence and illegal colonization efforts … 😔 it’s no time to be meek!! 💪🏽 🇵🇸"
31,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
32,"RT @dimitrilascaris: Israeli journalist Gideon Levy:

“Abu Akleh died a hero, doing her job. She was a braver journalist than all Israeli j…"
33,"#Shereen_Abu_Aqleh #ShereenAbuAqleh #ShereenAbuAkleh was a threat to Israel’s security with her camera and microphone, that was why they assassinated her. #palestine #ApartheidIsrael #Apartheid #Israel #PalestinianLivesMatter"
34,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
35,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
36,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
37,RT @kamelhawwash: #Palestinian students at Tel Aviv university marking 74 years of their #Nakba attacked by the #ApartheidIsrael police for…
38,The satanic silent &amp; secret crimes | #BDS https://t.co/1gkLO88IdC
39,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
40,"RT @shahinu_r: Mohammed Thabet, 
a Palestinian father from #Gaza Strip, named his daughters 'Shireen &amp; Jenin' honoring the Palestinian jour…"
41,A satanic #USTAXPAID satanic #azof battalion of armed #thugsInUniform to arrest 1 | #BDS https://t.co/UEqMU1vrsV
42,"Why can't any human rights see such a barbaric in-human act / genocides from Isreal.
#IsraeliCrimes #PalestinianLivesMatter 
Muslim News - May 13, 2022 https://t.co/vGVCgM8JwS via @YouTube"
43,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
44,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
45,RT @tzzzt123: EU countries should really stop helping #Israel and finally should speak up against #IsraeliCrimes and #IsraeliApartheid. Pal…
46,"RT @NesmaJa97: Mohammed Thabet, a Palestinian father from Rafah south of the Gaza Strip, named his daughters 'Shireen and Jenin' honoring t…"
47,"RT @RobertR41182121: &amp; simultaneously, for example, we find that we discover the magical prescience of real men with men hormones still of…"
48,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
49,"RT @AmmarBakir8: Remember Omar assad the 78 Y.O Palestinian American who was bound, beaten &amp; left to die by Israeli forces in the West Bank…"
50,"RT @yogsms: It’s a long but still concise summary of much of the atrocities committed with impunity by the Zionist Israeli regime. 
And the…"
51,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
52,"RT @redsarah99: ""Why did they kill Shireen Abu Akleh? 
That was the question raised in my Text&amp;ideology class on the day apartheid Israel d…"
53,"This is one example of what happened to the last satanic apartheid https://t.co/pOqPXwX8MQ
&amp; how it ends | #BDS https://t.co/SjqG4zsSrC"
54,Imagine if #shireen was an Ukrainian killed by Russia in Ukraine! The hypocrites supporting Ukraine would've responded in a different way. But because it's in #Palestine killed by israeli then it's another story. This is how the west trash again. #ShireenAbuAkleh #IsraeliCrimes
55,@cala99 @BrightonBDS @DJF1066 @LaneThomaHewitt @afneil Your Hamas-focused Hasbara just makes you look stupid. 50 years settlement expansion and killing teenagers in the West Bank (Hamas not in charge) is why #ApartheidIsrael must be boycotted and protested against.
56,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
57,"RT @BDSmovement: #BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for populatio…"
58,"RT @Alicia83965027: #burkini #Israel #IsraeliCrimes
#islamophobie #Pakistan

#Quran #Quranhour 9:30 pm 🇪🇬 #Egypt 10:30 pm #Mecca 🇸🇦 #Palest…"
59,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
60,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
61,"RT @RobertR41182121: &amp; simultaneously, for example, we find that we discover the magical prescience of real men with men hormones still of…"
62,"RT @dimitrilascaris: Israeli journalist Gideon Levy:

“Abu Akleh died a hero, doing her job. She was a braver journalist than all Israeli j…"
63,"RT @yogsms: It’s a long but still concise summary of much of the atrocities committed with impunity by the Zionist Israeli regime. 
And the…"
64,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
65,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
66,"&amp; simultaneously, for example, we find that we discover the magical prescience of real men with men hormones still of real fighting men not afraid of any #USTAXPAID satanic armed coward,  | #NakbaDay2022 #Nakba74 #BDS https://t.co/7gS5T9mggR https://t.co/uxFlBHwC3U"
67,RT @corjoy: The West’s blanket boycotts &amp; sanctions against Russia while continuing its complicity in Israel’s apartheid against Palestinia…
68,"It’s a long but still concise summary of much of the atrocities committed with impunity by the Zionist Israeli regime. 
And the US lets them. 

#SherineAbuAqleh #ApartheidIsrael 

https://t.co/Ba9aAqSCat"
69,RT @corjoy: The West’s blanket boycotts &amp; sanctions against Russia while continuing its complicity in Israel’s apartheid against Palestinia…
70,"RT @abierkhatib: Israeli police : 

“no disciplinary action will be taken against police officers and fighters who took part in the funeral…"
71,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
72,"Unarmed Palestinians holding the coffin of #ShereenAbuAqleh being attacked by the coward Israeli forces. Its not ukraine so pass through.

#IsraeliApartheid #Jenin #IsraeliCrimes #UkraineRussianWar #UkraineUnderAttack #Ukrainian https://t.co/1LRUTrqQLp"
73,"RT @LatuffCartoons: For #Israel, it's not enough to have shot dead Palestinian journalist #ShireenAbuAkleh.
It's necessary to brutalize the…"
74,"RT @beingrichard: #Germany racing down road to full-on #Fascism.

Uncritical support for increasingly fascist #Israel (whether out of guilt…"
75,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
76,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
77,"RT @ZazaFL: Today in Limerick we @ipsc48 stood with the Palestinian people, commemorated 74 years of Nakba, remembered last years murderous…"
78,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
79,"RT @abierkhatib: Israeli police : 

“no disciplinary action will be taken against police officers and fighters who took part in the funeral…"
80,"RT @Simon_A_Wood: @boeknow @amymacsouthbris @IndigenousX Let's build the movement to #BoycottIsrael:
https://t.co/ddJG95kFJL @BDSmovement…"
81,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
82,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
83,"RT @SocialistAnyDay: Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to p…"
84,"RT @dimitrilascaris: Israeli journalist Gideon Levy:

“Abu Akleh died a hero, doing her job. She was a braver journalist than all Israeli j…"
85,"#NakbaDay #IsraeliTerrorism continues to this day, designated as #IncrementalGenocide by scholars.

https://t.co/eQAvMyVd4D

https://t.co/zG05hLzjpc https://t.co/LE8KKzae8j"
86,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
87,"RT @beingrichard: #Germany racing down road to full-on #Fascism.

Uncritical support for increasingly fascist #Israel (whether out of guilt…"
88,Heartbreaking!—My only #hobby is crying’: the boy who lost his family to an Israeli airstrike - The Guardian #BLM #BDS #Palestine  https://t.co/BmGKgkl87I
89,"She was an American citizen. But that doesn't matter anymore. #IsraeliCrimes #IsraeliApartheid 
https://t.co/xWI0zuAKG1"
90,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
91,"RT @BDSmovement: #BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for populatio…"
92,"RT @MEGF_Saud: #Good_Morning from the #Holly_land 
Don't Stop Talking About #Palestine
Palestine is so beautiful
From the River to the sea,…"
93,"RT @peoplesdispatch: Today, Palestinians worldwide mark #Nakba (""Catastrophe"") when about a million Palestinians were violently displaced f…"
94,"The system of real estate properties land stealing &amp; #human #rights violations is a satanic evil inequality system is a #ZIONIST made scam &amp; has nothing to do w/ the Bible or Christian doctrine !
The only possible reference would be #abomination | #BDS https://t.co/9fv7PZ3Dpo https://t.co/pfnmnfBDaT"
95,"Call Us Now for a Free Guidance &amp; Counselling Session
 ☎️+91 9830106796/9674543949

#neet #neet2021 #neetug #neetpg #md #ms #postgraduate #mbbs #bds #nursing #ayush #paramedical #gnm #pharmacy #mbbswestbengal  #medicaladmission #kolkata #studyabroad #BuddhaPurnima https://t.co/OfMDWzNf04"
96,"RT @BDSmovement: #BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for populatio…"
97,"RT @Alicia83965027: #burkini #Israel #IsraeliCrimes
#islamophobie #Pakistan

#Quran #Quranhour 9:30 pm 🇪🇬 #Egypt 10:30 pm #Mecca 🇸🇦 #Palest…"
98,"RT @NesmaJa97: No caption needed 💔
Here is #Palestine, here is the pain .. 💔😭

#IsraeliCrimes
#ShireenAbuAqla https://t.co/AtMd2ogVU7"
99,"#burkini #Israel #IsraeliCrimes
#islamophobie #Pakistan

#Quran #Quranhour 9:30 pm 🇪🇬 #Egypt 10:30 pm #Mecca 🇸🇦 #Palestine #İstanbul #Liban https://t.co/WC4e7YwfgV"
100,RT @SmakSmik: @H55JI @hebh_jamal @RamsyKilani ...yup: in the year when #ApartheidIsrael killed over 500 children in#Gaza in only 50 days of…
101,"When u support a criminal you are a criminal

#Palestine #Palestina #savealaqsa #Israel #IsraeliCrimes #IsraeliApartheid #Act4Palestine https://t.co/o2FRq2dxFA"
102,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
103,"RT @SocialistAnyDay: Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to p…"
104,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
105,"RT @abierkhatib: Israeli police : 

“no disciplinary action will be taken against police officers and fighters who took part in the funeral…"
106,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
107,"RT @BDSmovement: #BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for populatio…"
108,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
109,"RT @Taysirbalbisi: Don't lose the key until you go back to your homeland
#Nakba74 
#FreePalestine from #ApartheidIsrael https://t.co/XQ69Zf…"
110,RT @OmarSShakir: Israel continues to dispossess Palestinians &amp; deny millions of refugees—many languishing generation after generation in ca…
111,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
112,"RT @niallmurray1: Flowers being carried to sea by River Lee from Cork city, a bunch each for all 73 children killed May 2021 by #ApartheidI…"
113,"RT @beingrichard: #Germany racing down road to full-on #Fascism.

Uncritical support for increasingly fascist #Israel (whether out of guilt…"
114,"RT @PalFriends2020: The #IsraeliOccupation forces &amp; settlers brutal assault on Palestinian students, who were marking the #Nakba anniversar…"
115,"RT @beingrichard: #Germany racing down road to full-on #Fascism.

Uncritical support for increasingly fascist #Israel (whether out of guilt…"
116,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
117,"@PEFMISSIONS You live in Poor-but-sexy+UNFREE BERLIN.
Hail #ApartheidIsrael !
#NeinZuRepression
#Nakba74

https://t.co/CEjvYFsS6q"
118,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
119,"Your daily reminder to keep the Palestinian People in your thoughts and prayers
#ShireenAbuAqla 
#EndIsraeliApartheid https://t.co/dcoziRxbVH"
120,"Israel can and does get away with murder.  Of a bone fide international journalist.  Then disrupts and disrespects her funeral with more violence.  But thats OK. Israel can do what they please.  Despicable!!!!

#IsraeliCrimes #IsraeliTerrorism #thisisIsrael #ShireenAbuAqla https://t.co/qwSkqDldxn"
121,RT @kamelhawwash: #Palestinian students at Tel Aviv university marking 74 years of their #Nakba attacked by the #ApartheidIsrael police for…
122,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
123,RT @CrispianWheldon: What do you say @Keir_Starmer? Are you for or against #apartheid? #StarmersLabour #ApartheidIsrael
124,"RT @SocialistAnyDay: Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to p…"
125,"#Good_Morning from the #Holly_land 
Don't Stop Talking About #Palestine
Palestine is so beautiful
From the River to the sea, Palestine will be free.
Never forget the right of return
We Shall return 
#Apartheidisrael 
#IsraeliTerrorism 
#FreePalestine https://t.co/UeHa75mMUh"
126,"RT @ChristineJameis: Amnesty's Executive Director in Ireland Colm O'Gorman speaks about Amnesty's report on Israel's apartheid, that has bu…"
127,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
128,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
129,"RT @Hanae58669251: Prisoner Khalil suffers from critical health conditions,as he suffers from damage of the nerves of the hands and feet an…"
130,RT @SireenM7: The policy of administrative detention is an unfair policy that cannot be accepted by a sound mind or a single human rights c…
131,"RT @SireenM7: ""Raed's case must reach the world's ears to support the issue of administrative prisoners in particular""
_The father of the p…"
132,RT @titusrider: The Nigerian Genocide the Media Won’t Talk About https://t.co/ZAX3jb0eoM via @YouTube #eNCA #sabcnews #ewn #Newzroom405 #BDS
133,RT @SireenM7: The occupation prisons administration assault the prisoner Khalil Awawda and is waiting for his case to become fatal in order…
134,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
135,RT @SireenM7: The occupation authorities refuse to bring in the personal belongings of the prisoner Khalil Awawda and have prevented him fr…
136,RT @SireenM7: Israeli occupation practices a policy of procrastination in responding to the demands of the prisoners on hunger strike aimin…
137,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
138,"RT @dimitrilascaris: Israeli journalist Gideon Levy:

“Abu Akleh died a hero, doing her job. She was a braver journalist than all Israeli j…"
139,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
140,"RT @mmeenaakshii: Nakba 74, good reminder to check in on your local arts institutions’ commitment to #BDS. #VivaPalestina"
141,"RT @BDSmovement: #BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for populatio…"
142,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
143,"RT @SocialistAnyDay: Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to p…"
144,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
145,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
146,"@MairavZ Apartheid Israeli inhumanity and oppression has no boundaries. #BDS 
https://t.co/XHYgdqzKVZ"
147,RT @MCAOps: Janna Jihad: ''The #Zionist are not going to stop us from speaking the truth and informing the world about what is going on. We…
148,"RT @SocialistAnyDay: Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to p…"
149,The Nigerian Genocide the Media Won’t Talk About https://t.co/ZAX3jb0eoM via @YouTube #eNCA #sabcnews #ewn #Newzroom405 #BDS
150,"RT @zoolooy: @AliAbunimah ""On 21 July 2014 an Israeli rocket hit the Al-Salam tower in #Gaza City and killed, among others, German citizen…"
151,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
152,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
153,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
154,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
155,Listen to every word as you will not hear it in report’s from the vast majority of the world’s press. #IsraeliCrimes #PRESS #IsraeliApartheid #ToriesUnfitToGovern #USA #uk #Truth #TruthMatters https://t.co/PtiQUg4MPJ
156,RT @MCAOps: Janna Jihad: ''The #Zionist are not going to stop us from speaking the truth and informing the world about what is going on. We…
157,@OnlinePalEng All noble and peace loving people all over the world stand united against apartheid Israel and its crimes against Palestinians in the occupied Palestine #FreePalestine stop #IsraeliCrimes #savesheikhjarrah #IsraeliApartheid
158,"RT @LynnSchore: @RomaniAndProud At the pro Palestine march today, the 2nd speaker specifically noted the $10 million contract #Portland cit…"
159,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
160,"RT @dimitrilascaris: Israeli journalist Gideon Levy:

“Abu Akleh died a hero, doing her job. She was a braver journalist than all Israeli j…"
161,@covid1948 @swilkinsonbc @PalestineCntxt @100_alpha @Tibou33969029 @HumanitarianPR @AblueUs @Lowkey0nline @StanleyCohenLaw @susanmarandi @s_m_marandi This is the real face of apartheid Israel and its terrorist occupation army #FreePalestine stop #IsraeliCrimes #savesheikhjarrah #IsraeliApartheid
162,RT @rula_z: @AJArabic A credible &amp; knowledgeable powerhouse on the minutiae of daily oppression affecting the lives of #Palestinian by #Apa…
163,"@DarrenOBrian1 @rachshabi @Israel @IDF @UN @IntlCrimCourt @amnesty I never used the word propaganda sir, you did.

I believe in cold. hard. uncomfortable. facts. 

The whole world cannot be wrong

#ZionismIsTerrorism #BoycottIsrael #PalestinianGenocide #IsraeliApartheid #IsraeliOccupation #IsraeliWarCrimes #BDS #ZionismIsNazism #FreePalestine"
164,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
165,"RT @mmeenaakshii: Nakba 74, good reminder to check in on your local arts institutions’ commitment to #BDS. #VivaPalestina"
166,@Tibou33969029 After 74 years of occupation to Palestine and committing crimes against Palestinians while pretending to be a democratic state #FreePalestine stop #IsraeliCrimes #savesheikhjarrah #ApartheidIsrael
167,"RT @timand2037: #ApartheidIsrael which occupies part of southern #Syria, just missile attacked Syria's central region killing 5 civilians a…"
168,"@AviLeftonRead @nzfashion @shereen_allam @RiyaAlsanah @IL_police Throwing Rocks does not deserve #palestiniangenocide

#ZionismIsTerrorism #BoycottIsrael #IsraeliApartheid #IsraeliOccupation #IsraeliWarCrimes #BDS #ZionismIsNazism #FreePalestine #Solidarity #BLM"
169,"@skinonbothsides @MFATNZ So a complaint from the embassy of a criminal &amp; rogue apartheid state is more important than peoples’ constitutionally protected / ensured human rights to freedom of speech and expression? 

Apparently in Berlin the same bullshit is going down. @bassem__saad 

#IsraelCrimes #BDS https://t.co/li3X6pQspN"
170,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
171,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
172,"RT @SocialistAnyDay: Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to p…"
173,"@AviLeftonRead @nzfashion @shereen_allam @RiyaAlsanah @IL_police Did you get my explanations? you're mentioned in the posts @avileftonroad 

#ZionismIsTerrorism #BoycottIsrael #PalestinianGenocide #IsraeliApartheid #IsraeliOccupation #IsraeliWarCrimes #BDS #ZionismIsNazism #FreePalestine"
174,"RT @NesmaJa97: We Will Never Forget Israeli Crimes 💔😭

Israeli massacres against Palestinian civilians without mercy 💔

Reham, a civilian,…"
175,"RT @NesmaJa97: Mohammed Thabet, a Palestinian father from Rafah south of the Gaza Strip, named his daughters 'Shireen and Jenin' honoring t…"
